date,target,comparedDocumentName,compatibility,assesment
2021-04-27,BRN3C2AF4AEB56C_0000000015,,,
,,BRN3C2AF4AEB56C_0000000015,100,Same Writer
,,Document2,93.33333333333333,Same Writer
,,,,
2021-04-28,BRN3C2AF4AEB56C_0000000015,,,
,,BRN3C2AF4AEB56C_0000000015,70,Same Writer
,,Document2,93.33333333333333,Same Writer
,,,,
2021-04-29,BRN3C2AF4AEB56C_0000000015,,,
,,BRN3C2AF4AEB56C_0000000015,100,Same Writer
,,Document2,93.33333333333333,Same Writer
,,,,
2021-04-29,BRN3C2AF4AEB56C_0000000015,,,
,,BRN3C2AF4AEB56C_0000000015,100,Same Writer
,,,,